Postition in as		Voltage		Time
-1150.0		0.65264892578125		Tue Oct 15 13:09:20 2019
-1100.0		0.725274658203125		Tue Oct 15 13:09:28 2019
-1050.0		0.77034912109375		Tue Oct 15 13:09:37 2019
-1000.0		0.793353271484375		Tue Oct 15 13:09:45 2019
-950.0		0.784210205078125		Tue Oct 15 13:09:53 2019
-900.0		0.817340087890625		Tue Oct 15 13:10:01 2019
-850.0		0.78065185546875		Tue Oct 15 13:10:09 2019
-800.0		0.721734619140625		Tue Oct 15 13:10:17 2019
-750.0		0.66961669921875		Tue Oct 15 13:10:26 2019
-700.0		0.60242919921875		Tue Oct 15 13:10:34 2019
-650.0		0.486517333984375		Tue Oct 15 13:10:42 2019
-600.0		0.4132080078125		Tue Oct 15 13:10:50 2019
-550.0		0.319970703125		Tue Oct 15 13:10:58 2019
-500.0		0.236309814453125		Tue Oct 15 13:11:06 2019
-450.0		0.161834716796875		Tue Oct 15 13:11:15 2019
-400.0		0.103082275390625		Tue Oct 15 13:11:23 2019
-350.0		0.0638916015625		Tue Oct 15 13:11:31 2019
-300.0		0.047216796875		Tue Oct 15 13:11:39 2019
-250.0		0.051910400390625		Tue Oct 15 13:11:48 2019
-200.0		0.08289794921875		Tue Oct 15 13:11:56 2019
-150.0		0.133612060546875		Tue Oct 15 13:12:04 2019
-100.0		0.19901123046875		Tue Oct 15 13:12:12 2019
-50.0		0.279095458984375		Tue Oct 15 13:12:20 2019
0.0		0.37276611328125		Tue Oct 15 13:12:28 2019
50.0		0.450994873046875		Tue Oct 15 13:12:37 2019
100.0		0.54666748046875		Tue Oct 15 13:12:45 2019
150.0		0.613134765625		Tue Oct 15 13:12:53 2019
200.0		0.68814697265625		Tue Oct 15 13:13:01 2019
250.0		0.753814697265625		Tue Oct 15 13:13:09 2019
300.0		0.794366455078125		Tue Oct 15 13:13:18 2019
350.0		0.811016845703125		Tue Oct 15 13:13:26 2019
400.0		0.81351318359375		Tue Oct 15 13:13:34 2019
450.0		0.800677490234375		Tue Oct 15 13:13:42 2019
500.0		0.775238037109375		Tue Oct 15 13:13:50 2019
550.0		0.739642333984375		Tue Oct 15 13:13:57 2019
600.0		0.681396484375		Tue Oct 15 13:14:06 2019
650.0		0.60523681640625		Tue Oct 15 13:14:14 2019
700.0		0.5333251953125		Tue Oct 15 13:14:22 2019
750.0		0.44556884765625		Tue Oct 15 13:14:30 2019
800.0		0.3580078125		Tue Oct 15 13:14:39 2019
850.0		0.282867431640625		Tue Oct 15 13:14:47 2019
900.0		0.209808349609375		Tue Oct 15 13:14:55 2019
950.0		0.141888427734375		Tue Oct 15 13:15:03 2019
1000.0		0.093743896484375		Tue Oct 15 13:15:11 2019
1050.0		0.056689453125		Tue Oct 15 13:15:20 2019
1100.0		0.039739990234375		Tue Oct 15 13:15:28 2019
1150.0		0.042144775390625		Tue Oct 15 13:15:36 2019
1200.0		0.063165283203125		Tue Oct 15 13:15:44 2019
1250.0		0.103924560546875		Tue Oct 15 13:15:52 2019
1300.0		0.16484375		Tue Oct 15 13:16:01 2019
1350.0		0.2359375		Tue Oct 15 13:16:09 2019
1400.0		0.32490234375		Tue Oct 15 13:16:17 2019
1450.0		0.421466064453125		Tue Oct 15 13:16:25 2019
1500.0		0.51395263671875		Tue Oct 15 13:16:34 2019
1500.0		0.498980712890625		Tue Oct 15 13:16:42 2019
1450.0		0.412353515625		Tue Oct 15 13:16:50 2019
1400.0		0.323822021484375		Tue Oct 15 13:16:58 2019
1350.0		0.23419189453125		Tue Oct 15 13:17:06 2019
1300.0		0.164959716796875		Tue Oct 15 13:17:15 2019
1250.0		0.105718994140625		Tue Oct 15 13:17:23 2019
1200.0		0.063818359375		Tue Oct 15 13:17:31 2019
1150.0		0.04111328125		Tue Oct 15 13:17:40 2019
1100.0		0.0377197265625		Tue Oct 15 13:17:48 2019
1050.0		0.055438232421875		Tue Oct 15 13:17:56 2019
1000.0		0.089984130859375		Tue Oct 15 13:18:05 2019
950.0		0.145635986328125		Tue Oct 15 13:18:13 2019
900.0		0.202117919921875		Tue Oct 15 13:18:21 2019
850.0		0.2767578125		Tue Oct 15 13:18:30 2019
800.0		0.363250732421875		Tue Oct 15 13:18:38 2019
750.0		0.429168701171875		Tue Oct 15 13:18:46 2019
700.0		0.50753173828125		Tue Oct 15 13:18:54 2019
650.0		0.611846923828125		Tue Oct 15 13:19:02 2019
600.0		0.66092529296875		Tue Oct 15 13:19:10 2019
550.0		0.72252197265625		Tue Oct 15 13:19:19 2019
500.0		0.77320556640625		Tue Oct 15 13:19:27 2019
450.0		0.7964599609375		Tue Oct 15 13:19:35 2019
400.0		0.8797119140625		Tue Oct 15 13:19:43 2019
350.0		0.8822509765625		Tue Oct 15 13:19:51 2019
300.0		0.875775146484375		Tue Oct 15 13:19:59 2019
250.0		0.809075927734375		Tue Oct 15 13:20:08 2019
